Qty,Designator,Package,MPN,Purchase Link,Notes
1,C13,0603-MINI-CAP,CL10B104KB8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNC/3886658,
5,"R2, R3, R19, R20, R21",0603-MINI,ERJ-PA3J104V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J104V/5035972,
1,C10,EIA3216-18/A-W,F930J107KAA,https://www.digikey.com/en/products/detail/kyocera-avx/F930J107KAA/4005275,
5,"R11, R12, R13, R14, R15",0603-MINI,ERJ-PA3J103V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J103V/5035971,
3,"C1, C2, C4",0603-MINI-CAP,CL10A106MP8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MP8NNNC/3887529,
1,R18,0603-MINI,ERJ-PA3J151V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/erj-p03j151v/9810793,
2,"R1, R5",0603-MINI,ERJ-PA3J152V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/erj-p03j152v/9810794,
3,"C3, C8, C9",0603-MINI-CAP,CL10A105KP8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KP8NNNC/3886840,
1,C7,0603-MINI-CAP,CL10C221JB8NFNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C221JB8NFNC/3890321,
1,R4,0603-MINI,CRGH0603J470R,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGH0603J470R/2385347,
4,"R6, R7, R22, R24",0603-MINI,ERJ-3EKF5111V,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-3EKF5111V/198416,
1,Q3,SOT23-R,DMP2045U-7,https://www.digikey.com/en/products/detail/diodes-incorporated/DMP2045U-7/8275359,
1,U$11,KD026LQTMA008-PASSTHRU,0541044531,https://www.digikey.ca/en/products/detail/molex/0541044531/3197022,
1,U6,SOIC8,LM4875MX/NOPB,https://www.digikey.com/en/products/detail/texas-instruments/LM4875MX-NOPB/1871686,
1,D4,SOD-123,MBRX120LF-TP,digikey.com/en/products/detail/micro-commercial-co/MBRX120LF-TP/2041570,
1,U4,SOT23-5-1,MCP73832T-2ACI/OT,https://www.digikey.com/en/products/detail/microchip-technology/mcp73832t-2aci-ot/1223142,
2,"X2, X3",53261-02,0532614002,https://www.digikey.ca/en/products/detail/molex/0532614002/15622958,
1,J6,GCT_USB4110-GF-A_REVB,USB4110-GF-A,https://www.digikey.ca/en/products/detail/gct/usb4110-gf-a/10384547,
1,U3,SOT23-5,XC6210B332MR-G,https://www.digikey.ca/en/products/detail/torex-semiconductor-ltd/XC6210B332MR-G/2138119,